Date,Open,High,Low,Close,Adj Close,Volume
2024-01-12,6350.000000,6400.000000,6350.000000,6375.000000,6100.463379,5482500
2024-01-15,6400.000000,6500.000000,6400.000000,6450.000000,6172.233887,6476000
2024-01-16,6475.000000,6525.000000,6425.000000,6450.000000,6172.233887,9762800
2024-01-17,6450.000000,6450.000000,6350.000000,6400.000000,6124.387207,7956300
2024-01-18,6375.000000,6400.000000,6325.000000,6375.000000,6100.463379,6634800
2024-01-19,6400.000000,6475.000000,6350.000000,6450.000000,6172.233887,7319600
2024-01-22,6450.000000,6475.000000,6400.000000,6425.000000,6148.310547,7346000
2024-01-23,6425.000000,6425.000000,6350.000000,6400.000000,6124.387207,7874600
2024-01-24,6400.000000,6450.000000,6375.000000,6450.000000,6172.233887,4089900
2024-01-25,6450.000000,6475.000000,6400.000000,6400.000000,6124.387207,6866400
2024-01-26,6400.000000,6450.000000,6375.000000,6425.000000,6148.310547,5164900
2024-01-29,6425.000000,6425.000000,6375.000000,6425.000000,6148.310547,6407200
2024-01-30,6400.000000,6425.000000,6375.000000,6400.000000,6124.387207,4531400
2024-01-31,6375.000000,6425.000000,6375.000000,6375.000000,6100.463379,9544700
2024-02-01,6350.000000,6450.000000,6350.000000,6350.000000,6076.540039,10779600
2024-02-02,6350.000000,6400.000000,6350.000000,6400.000000,6124.387207,7356800
2024-02-05,6400.000000,6425.000000,6300.000000,6300.000000,6028.693359,9865400
2024-02-06,6325.000000,6400.000000,6300.000000,6350.000000,6076.540039,9445700
2024-02-07,6375.000000,6450.000000,6325.000000,6350.000000,6076.540039,10270400
2024-02-12,6350.000000,6450.000000,6350.000000,6400.000000,6124.387207,7077000
2024-02-13,6400.000000,6450.000000,6350.000000,6350.000000,6076.540039,5485300
2024-02-15,6425.000000,6475.000000,6375.000000,6400.000000,6124.387207,12271900
2024-02-16,6400.000000,6475.000000,6400.000000,6425.000000,6148.310547,5762300
2024-02-19,6450.000000,6575.000000,6425.000000,6475.000000,6196.157227,8429500
2024-02-20,6475.000000,6575.000000,6475.000000,6550.000000,6267.927246,5677400
2024-02-21,6550.000000,6600.000000,6500.000000,6600.000000,6315.773926,10104200
2024-02-22,6600.000000,6725.000000,6575.000000,6725.000000,6435.391113,9489900
2024-02-23,6750.000000,6750.000000,6625.000000,6725.000000,6435.391113,8713200
2024-02-26,6675.000000,6700.000000,6550.000000,6625.000000,6339.697266,7884800
2024-02-27,6600.000000,6600.000000,6525.000000,6575.000000,6291.850586,5456800
2024-02-28,6575.000000,6625.000000,6550.000000,6625.000000,6339.697266,2090500
2024-02-29,6625.000000,6650.000000,6525.000000,6625.000000,6339.697266,10783000
2024-03-01,6550.000000,6675.000000,6550.000000,6675.000000,6387.544434,6023600
2024-03-04,6675.000000,6675.000000,6550.000000,6550.000000,6267.927246,5809200
2024-03-05,6575.000000,6575.000000,6475.000000,6500.000000,6220.080566,6990600
2024-03-06,6500.000000,6550.000000,6475.000000,6500.000000,6220.080566,4956200
2024-03-07,6475.000000,6500.000000,6350.000000,6350.000000,6076.540039,11093000
2024-03-08,6375.000000,6400.000000,6325.000000,6350.000000,6076.540039,11796000
2024-03-13,6350.000000,6425.000000,6300.000000,6300.000000,6028.693359,13159000
2024-03-14,6325.000000,6425.000000,6300.000000,6425.000000,6148.310547,9245200
2024-03-15,6425.000000,6500.000000,6375.000000,6425.000000,6148.310547,21189100
2024-03-18,6450.000000,6500.000000,6400.000000,6450.000000,6172.233887,5242800
2024-03-19,6450.000000,6475.000000,6375.000000,6425.000000,6148.310547,9572300
2024-03-20,6450.000000,6475.000000,6425.000000,6475.000000,6196.157227,5278100
2024-03-21,6475.000000,6525.000000,6425.000000,6450.000000,6172.233887,7929300
2024-03-22,6450.000000,6475.000000,6400.000000,6425.000000,6148.310547,3483700
2024-03-25,6500.000000,6500.000000,6425.000000,6450.000000,6172.233887,5631900
2024-03-26,6400.000000,6400.000000,6225.000000,6375.000000,6100.463379,14396800
2024-03-27,6350.000000,6375.000000,6275.000000,6325.000000,6052.616699,9153300
2024-03-28,6325.000000,6375.000000,6325.000000,6375.000000,6100.463379,6138100
2024-04-01,6400.000000,6425.000000,6325.000000,6425.000000,6148.310547,9236200
2024-04-02,6425.000000,6600.000000,6400.000000,6600.000000,6315.773926,12799100
2024-04-03,6600.000000,6600.000000,6525.000000,6550.000000,6267.927246,10251600
2024-04-04,6550.000000,6550.000000,6475.000000,6500.000000,6220.080566,4924100
2024-04-05,6500.000000,6575.000000,6500.000000,6500.000000,6220.080566,6930600
2024-04-16,6300.000000,6375.000000,6125.000000,6150.000000,5885.153320,31099400
2024-04-17,6175.000000,6200.000000,6050.000000,6050.000000,5789.459473,12128500
2024-04-18,6050.000000,6125.000000,6050.000000,6125.000000,5861.229492,11611100
2024-04-19,6100.000000,6100.000000,6025.000000,6100.000000,5837.306152,10631200
2024-04-22,6100.000000,6150.000000,6025.000000,6150.000000,5885.153320,8102700
2024-04-23,6150.000000,6150.000000,6025.000000,6025.000000,5765.536133,7475600
2024-04-24,6050.000000,6100.000000,6025.000000,6050.000000,5789.459473,5024200
2024-04-25,6075.000000,6200.000000,6050.000000,6200.000000,5933.000000,7265800
2024-04-26,6200.000000,6200.000000,6050.000000,6050.000000,5789.459473,5110600
2024-04-29,6075.000000,6175.000000,6050.000000,6175.000000,5909.076660,5155300
2024-04-30,6200.000000,6300.000000,6125.000000,6250.000000,5980.846680,8890900
2024-05-02,6250.000000,6275.000000,6150.000000,6225.000000,5956.923340,9811900
2024-05-03,6250.000000,6250.000000,6125.000000,6225.000000,5956.923340,3416500
2024-05-06,6275.000000,6275.000000,6150.000000,6225.000000,5956.923340,5501200
2024-05-07,6225.000000,6250.000000,6150.000000,6150.000000,5885.153320,4465300
2024-05-08,6175.000000,6200.000000,6100.000000,6200.000000,5933.000000,6840500
